Local authorities code,Local authorities,Region,Hours worked  Does not apply,Hours worked Parttime 15 hrs or less,Hours worked Parttime 16 to 30 hrs,Hours worked Fulltime 31 to 48 hrs,Hours worked Fulltime 49 or more hrs,Distance travelled Does not apply,Distance travelled Less than 2km,Distance travelled 2km to less than 5km,Distance travelled 5km to less than 10km,Distance travelled 10km to less than 20km,Distance travelled 20km to less than 30km,Distance travelled 30km to less than 40km,Distance travelled 40km to less than 60km,Distance travelled 60km and over,Distance travelled Works mainly from home,Distance travelled Works in no fixed place,Method of travel Work from home,Method of travel Light rail,Method of travel Train,Method of travel Bus,Method of travel Taxi,Method of travel Motorcycle,Method of travel Driving,Method of travel Passenger in a car,Method of travel Bicycle,Method of travel On foot,Method of travel Other ,Method of travel Not in employment,Working from home number,Working from home percent
E07000124,Ribble Valley,North West,31176,3132,5548,17587,4118,31176,3181,2210,3776,5008,1578,931,636,297,9005,3765,9005,16,151,246,67,85,17171,938,258,2200,249,31176,9005,29.6
E09000027,Richmond upon Thames,London,97713,10880,14990,54047,17648,97713,6171,7734,7975,7543,1127,387,244,467,57322,8595,57322,2897,4319,3929,276,649,17106,962,3888,5386,832,97713,57322,58.8
E07000166,Richmondshire,Yorkshire and The Humber,25097,2660,4618,13002,4399,25097,3485,2570,1907,2774,1217,805,645,819,6700,3757,6700,15,77,196,127,77,13001,906,307,2936,337,25097,6700,27.1
E08000005,Rochdale,North West,129314,8024,19554,59047,7834,129314,12367,15850,15092,10392,3000,1025,695,964,20151,14920,20151,829,804,4612,1936,305,51996,5249,809,6731,1038,129314,20151,21.3
E07000075,Rochford,East of England,45003,4810,7651,23225,4972,45003,2488,3762,5723,2767,1279,838,1597,435,14659,7110,14659,60,1877,565,116,166,19583,1200,278,1752,405,45003,14659,36.1
E07000125,Rossendale,North West,37757,2925,6446,20294,3451,37757,3369,3256,4053,6006,2214,600,266,316,8036,4997,8036,18,68,1026,256,119,19570,1507,153,2060,303,37757,8036,24.3
E07000064,Rother,Yorkshire and The Humber,55176,5203,8422,19656,4653,55176,3600,2554,4167,4291,1573,743,612,838,12306,7250,12306,31,872,332,131,200,19187,1311,345,2800,417,55176,12306,32.4
E08000018,Rotherham,Yorkshire and The Humber,148004,9993,25040,71465,11305,148004,10991,16097,20778,17958,3297,1308,1414,1457,24750,19755,24750,196,481,4959,1084,402,70478,6792,893,6618,1148,148004,24750,21.0
E07000220,Rugby,West Midlands,56257,4994,9547,36959,6606,56257,6483,8730,6531,6426,2808,1333,856,888,17792,6258,17792,37,441,1109,266,189,29803,2994,1111,3913,454,56257,17792,30.6
E07000212,Runnymede,South East,45622,5215,7107,24677,5458,45622,3899,4465,4682,4074,1439,721,220,375,16530,6051,16530,122,1142,492,183,230,18611,1267,705,2759,417,45622,16530,38.9
E07000176,Rushcliffe,East Midlands,62099,5799,10725,33528,6924,62099,3431,4782,6597,6558,2399,945,480,869,24680,6235,24680,123,170,1574,128,123,24538,1395,1041,2786,420,62099,24680,43.3
E07000092,Rushmoor,South East,46741,4560,8689,34125,5641,46741,6472,7275,5801,5362,2188,910,1253,671,15301,7777,15301,47,1217,1526,155,293,26669,2514,903,3835,558,46741,15301,28.9
E06000017,Rutland,East Midlands,22266,2177,3548,10061,2997,22266,2718,818,1582,2008,1210,657,403,412,6404,2572,6404,8,99,70,35,59,9037,516,368,2004,184,22266,6404,34.1
E07000167,Ryedale,Yorkshire and The Humber,28746,3093,5393,13478,3997,28746,3480,1556,1767,3407,2016,962,650,547,7609,3967,7609,12,89,175,45,93,13642,843,543,2630,281,28746,7609,29.3
E08000006,Salford,North West,142317,11306,23988,81921,10391,142317,16966,20115,17005,12484,2598,1092,1011,1319,39039,15975,39039,2028,1277,8417,1839,383,52459,5037,2750,13107,1269,142317,39039,30.6
E08000028,Sandwell,West Midlands,200760,12726,29568,87725,11053,200760,15744,28398,27685,13427,2812,1519,1461,2009,26347,21669,26347,1401,2593,11938,2306,523,74590,8791,1704,9223,1656,200760,26347,18.7
E07000168,Scarborough,Yorkshire and The Humber,62186,5623,11198,24536,5192,62186,10414,6352,4248,2794,2943,1208,959,1357,8837,7436,8837,23,266,1299,213,264,23934,2449,904,7736,624,62186,8837,19.0
E07000188,Sedgemoor,South West,66196,6263,12027,33555,7302,66196,8623,6970,4611,9340,2894,1503,1212,838,13532,9624,13532,30,204,1483,123,374,33463,2554,1978,4870,538,66196,13532,22.9
E08000014,Sefton,North West,154635,12151,26895,74317,11234,154635,14520,15944,14452,15818,6454,1669,1233,1174,34750,18583,34750,176,3911,4966,1702,419,59614,6145,2626,8920,1367,154635,34750,27.9
E07000169,Selby,Yorkshire and The Humber,45864,4192,8552,27566,5814,45864,4017,2567,3769,7232,4514,1776,957,793,14331,6171,14331,8,342,596,72,190,25137,1661,764,2687,338,45864,14331,31.1
E07000111,Sevenoaks,South East,64130,6623,10192,31035,8532,64130,3639,2946,4496,6575,3556,1860,477,366,23775,8695,23775,161,3063,441,140,303,23224,1522,289,2959,506,64130,23775,42.2
E08000019,Sheffield,Yorkshire and The Humber,314514,25656,54640,142795,18916,314514,26487,42659,40297,18253,4706,2137,2384,2886,69654,32544,69654,2698,1747,17868,2850,615,109419,10550,3530,20612,2464,314514,69654,28.8
E06000051,Shropshire,West Midlands,171183,16243,31647,83886,20647,171183,19254,13148,11755,16975,12384,5287,4854,3947,41525,23294,41525,35,762,1110,731,428,83469,6421,2926,13662,1353,171183,41525,27.2
E06000039,Slough,South East,84799,7492,13480,46355,6373,84799,9229,10683,8247,7376,3085,1419,619,647,19976,12419,19976,587,2323,3147,928,330,34407,3784,1529,5677,1011,84799,19976,27.1
E08000029,Solihull,West Midlands,118301,9825,18037,59863,10214,118301,6991,12004,14712,11189,3590,916,498,1236,35366,11437,35366,69,1563,3673,618,243,47002,3509,1000,4128,768,118301,35366,36.1
E07000246,Somerset West and Taunton,South West,84151,8010,15614,40916,8754,84151,12175,8609,5857,7310,3701,2368,1268,1485,19392,11128,19392,25,229,1019,181,456,37421,2809,2563,8483,715,84151,19392,26.5
E07000012,South Cambridgeshire,East of England,79852,8202,14550,49901,9614,79852,4121,5984,9504,11469,2855,1181,1088,1343,36046,8676,36046,64,685,1604,172,430,33507,2057,3997,3131,573,79852,36046,43.8
E07000039,South Derbyshire,East Midlands,53302,4638,9680,33110,6478,53302,4480,5078,8835,7825,2510,1634,1164,744,14903,6732,14903,25,127,685,312,275,32062,2064,485,2555,411,53302,14903,27.6
